year,name,description,longitude,latitude
2019,64 Sutton,Cafes and Restaurants,144.93767,-37.79162
2019,Souperman,Catering Services,144.93871000000001,-37.79407
2019,Mr Tucker,Takeaway Food Services,144.9414,-37.79502
2019,Pocket Cafe,Cafes and Restaurants,144.9414,-37.79502
2019,Melrose Takeaway,Takeaway Food Services,144.9414,-37.79502
2019,Cafe Innov-8,Cafes and Restaurants,144.9414,-37.79502
2019,Thyme Square Cafe,Cafes and Restaurants,144.94671,-37.79356
2019,North End Deli,Cafes and Restaurants,144.9382,-37.79558
2019,Reynolds St Takeaway,Takeaway Food Services,144.93765,-37.79723
2019,Cafe Trutrack,Takeaway Food Services,144.94143,-37.79893
2019,Snapperhead Fish And Chips,Takeaway Food Services,144.9467,-37.79823
2019,Pioneer Pizza A,Takeaway Food Services,144.9467,-37.79823
2019,9 FaceThai Cuisine,Takeaway Food Services,144.9467,-37.79823
2019,Papa Guiseppe Pizza & Pasta,Takeaway Food Services,144.94651000000002,-37.79873
2019,Elceed Cafe,Cafes and Restaurants,144.94714,-37.80253
2019,Twenty & Six Espresso,Cafes and Restaurants,144.94754,-37.80257
2019,Queensberry Lunch Bar,Takeaway Food Services,144.94478999999998,-37.80235
2019,Beatrix Cafe,Cafes and Restaurants,144.94446000000002,-37.80227
2019,Oskar,Cafes and Restaurants,144.94898,-37.80489
2019,Joe Taylor,"Pubs, Taverns and Bars",144.94901000000002,-37.8048
2019,The Hot Poppy,Cafes and Restaurants,144.94899999999998,-37.80475
2019,Salt Seafood and Burger Bar,Takeaway Food Services,144.94903,-37.8047
2019,Toast Kitchen Cafe,Cafes and Restaurants,144.94904,-37.80464
2019,Ferguson Plarre Bakehouse,Takeaway Food Services,144.94907,-37.80435
2019,S & J Sushi Noodle Town,Cafes and Restaurants,144.94881999999998,-37.80437
2019,Townhall Hotel North Melbourne,"Pubs, Taverns and Bars",144.9488,-37.804120000000005
2019,Char Siu House,Cafes and Restaurants,144.94908999999998,-37.804120000000005
2019,Wonky Trolley,Cafes and Restaurants,144.94906,-37.803909999999995
2019,Dong Xing Asian Food & Sushi Noodle Bar,Takeaway Food Services,144.94904,-37.80386
2019,Agraba,Cafes and Restaurants,144.94921000000002,-37.8036
2019,Errol's Cafe,Cafes and Restaurants,144.94908,-37.80346
2019,Snax Deli,Cafes and Restaurants,144.94929,-37.80323
2019,Nizams Indian Restaurant,Cafes and Restaurants,144.94871,-37.80475
2019,Cindy's Kitchen,Takeaway Food Services,144.94871,-37.80475
2019,Fandango,Takeaway Food Services,144.94941,-37.802609999999994
2019,Auction Rooms,Cafes and Restaurants,144.94946000000002,-37.802459999999996
2019,French Quarter Patisserie,Cafes and Restaurants,144.94848000000002,-37.80271
2019,Bela Bistro,Cafes and Restaurants,144.94871,-37.80272
2019,Limerick Castle Hotel & Restaurant,"Pubs, Taverns and Bars",144.94964,-37.801159999999996
2019,Mecure North Melbourne,Accommodation,144.95022,-37.79663
2019,Royal Kebab Cafe,Cafes and Restaurants,144.94842,-37.79508
2019,Reynoldo's,Cafes and Restaurants,144.95012,-37.804140000000004
2019,KL Bunga Raya,Cafes and Restaurants,144.94973000000002,-37.804359999999996
2019,The Comics Lounge,Clubs (Hospitality),144.94988999999998,-37.80457
2019,North Melbourne Roast Chicken and Chips,Takeaway Food Services,144.94965,-37.80471
2019,Sosta Cucina,Cafes and Restaurants,144.94957,-37.804829999999995
2019,Hanoi in North Melbourne,Cafes and Restaurants,144.94957,-37.8049
2019,Roasting Warehouse,Cafes and Restaurants,144.95058999999998,-37.80447
2019,Faces & Places,Cafes and Restaurants,144.94955,-37.804970000000004
2019,El Sabor,Cafes and Restaurants,144.94968,-37.80492
2019,North Melbourne Hotel,Cafes and Restaurants,144.95015,-37.804970000000004
2019,The Sensible Sandwich Cafe,Cafes and Restaurants,144.95054,-37.805009999999996
2019,The Leveson,"Pubs, Taverns and Bars",144.95146,-37.8037
2019,Code Black Howard Street,Cafes and Restaurants,144.95367,-37.80423
2019,Ample Cafe Bar,Cafes and Restaurants,144.9537,-37.8041
2019,Grigons & Orr Corner Store,Cafes and Restaurants,144.95278000000002,-37.80359
2019,Pho Victoria,Cafes and Restaurants,144.95396000000002,-37.80542
2019,Prudence Bar,Cafes and Restaurants,144.95405,-37.80543
2019,Babu Bar Burger with Balls,Cafes and Restaurants,144.95413,-37.805440000000004
2019,Little Africa,Cafes and Restaurants,144.95434,-37.80538
2019,Bobbie Peels,"Pubs, Taverns and Bars",144.95597,-37.80396
2019,Sojung Korean BBQ,Cafes and Restaurants,144.95666,-37.80444
2019,Yeonga,Cafes and Restaurants,144.95692,-37.8056
2019,Maria Trattoria,Cafes and Restaurants,144.95646000000002,-37.8052
2019,La Porchetta,Cafes and Restaurants,144.95638,-37.8057
2019,Hallah,Cafes and Restaurants,144.95739,-37.8058
2019,Woo-Ga,Cafes and Restaurants,144.95739,-37.8058
2019,Donwoori,Cafes and Restaurants,144.95739,-37.8058
2019,Melbourne Toodouri,Cafes and Restaurants,144.95772,-37.80584
2019,Central Club Hotel,"Pubs, Taverns and Bars",144.95812,-37.80591
2019,Shop 30 Coffee,Takeaway Food Services,144.95798,-37.80572
2019,Lucky House in Melbourne,Cafes and Restaurants,144.95828999999998,-37.80471
2019,BBQ Brothers 10,Cafes and Restaurants,144.95812,-37.80461
2019,I Wrap Cafe,Takeaway Food Services,144.95815,-37.80444
2019,Classic Curry Company,Cafes and Restaurants,144.95814,-37.804390000000005
2019,Cafe Perri & Perri Cine Video and Photography,Cafes and Restaurants,144.95812,-37.80435
2019,Metro Cafe,Cafes and Restaurants,144.9545,-37.80305
2019,5 Lire,Cafes and Restaurants,144.9501,-37.80223
2019,The Courthouse Hotel,"Pubs, Taverns and Bars",144.94996,-37.80288
2019,Lulu Cafe & Gallery,Cafes and Restaurants,144.95053000000001,-37.80285
2019,Mr Price's Food Store,Cafes and Restaurants,144.95066,-37.802859999999995
2019,Counter,Takeaway Food Services,144.95003,-37.802479999999996
2019,Mork Chocolate,Cafes and Restaurants,144.95019,-37.80154
2019,Akita Japanese Restaurant,Cafes and Restaurants,144.95446,-37.802040000000005
2019,The Rice Cooker,Cafes and Restaurants,144.95518,-37.80068
2019,St Cooper Cafe,Takeaway Food Services,144.95518,-37.80068
2019,Nemo,Cafes and Restaurants,144.95518,-37.80068
2019,Metropolitan Hotel,"Pubs, Taverns and Bars",144.95408999999998,-37.801429999999996
2019,The Castle Hotel,"Pubs, Taverns and Bars",144.95303,-37.8009
2019,Flavour Cafe,Cafes and Restaurants,144.95432,-37.79973
2019,Eat Pizza,Takeaway Food Services,144.95432,-37.79973
2019,Mum Mum Asian Street Food,Cafes and Restaurants,144.954,-37.79937
2019,New Lanna Thai,Cafes and Restaurants,144.954,-37.79937
2019,The Smith Cafe,Takeaway Food Services,144.95317,-37.79978
2019,Jaspresso,Cafes and Restaurants,144.95286000000002,-37.79857
2019,Avist Cafe,Cafes and Restaurants,144.9527,-37.79844
2019,Dr Dax Kitchen,Cafes and Restaurants,144.96124,-37.79675
2019,House Of Cards Espresso,Takeaway Food Services,144.96124,-37.79675
2019,Pronto Pizza Bar,Takeaway Food Services,144.96124,-37.79675
2019,Oriental House,Cafes and Restaurants,144.96124,-37.79675
2019,Ho Ho's Canteen,Takeaway Food Services,144.96124,-37.79675
2019,Castro's Kiosk,Takeaway Food Services,144.96124,-37.79675
2019,Brew Sisters,Takeaway Food Services,144.96124,-37.79675
2019,Egg Sake Bistro,Cafes and Restaurants,144.96124,-37.79675
2019,The Ida Bar,Cafes and Restaurants,144.96124,-37.79675
2019,The Potter Espresso Bar,Cafes and Restaurants,144.96124,-37.79675
2019,University House Club,Clubs (Hospitality),144.96124,-37.79675
2019,Professor Court Cafe,Takeaway Food Services,144.96124,-37.79675
2019,Carte Crepes,Takeaway Food Services,144.96124,-37.79675
2019,Cafe @ Resource,Takeaway Food Services,144.96124,-37.79675
2019,Brew Sisters Kiosk,Takeaway Food Services,144.96124,-37.79675
2019,Sage & Grace Cafe,Cafes and Restaurants,144.96053999999998,-37.79307
2019,Primary Cafe,Cafes and Restaurants,144.95868000000002,-37.78398
2019,Vibe Hotel,Accommodation,144.95882,-37.7829
2019,Oshin Sushi Bar,Cafes and Restaurants,144.95856,-37.784929999999996
2019,Parkside,Cafes and Restaurants,144.95856,-37.784929999999996
2019,Parkville Store,Cafes and Restaurants,144.95567,-37.79525
2019,Naughtons Parkville Hotel,"Pubs, Taverns and Bars",144.95753,-37.79554
2019,Cafe Royale,Cafes and Restaurants,144.95755,-37.7954
2019,Sargon Food And Co Cafe,Cafes and Restaurants,144.95667,-37.80019
2019,Super 8,Cafes and Restaurants,144.95667,-37.80019
2019,The Loft @ Vccc,Cafes and Restaurants,144.95667,-37.80019
2019,Think Asia VCCC,Cafes and Restaurants,144.95667,-37.80019
2019,Hudsons Coffee Melbourne Private,Cafes and Restaurants,144.95633999999998,-37.79864
2019,Isabella,Cafes and Restaurants,144.955,-37.79885
2019,University High School Canteen,Cafes and Restaurants,144.95606,-37.797470000000004
2019,Corner Cafe & Convenience Store,Cafes and Restaurants,144.93913,-37.77619
2019,Poplars,Cafes and Restaurants,144.94791,-37.77802
2019,Orygen Soul Cafe,Cafes and Restaurants,144.9474,-37.781259999999996
2019,Sandrock,Cafes and Restaurants,144.94953999999998,-37.793620000000004
2019,Parkville Cafe,Cafes and Restaurants,144.94953999999998,-37.793620000000004
2019,McDonalds Royal Children's Hospital,Cafes and Restaurants,144.94953999999998,-37.793620000000004
2019,Aruba Espresso Cafe,Cafes and Restaurants,144.94953999999998,-37.793620000000004
2019,Quando Cafe,Takeaway Food Services,144.94953999999998,-37.793620000000004
2019,Smith And Singleton,Cafes and Restaurants,144.94953999999998,-37.793620000000004
2019,State Netball & Hockey Centre Cafe,Cafes and Restaurants,144.94769,-37.78535
2019,Village Kiosk,Takeaway Food Services,144.95193999999998,-37.784209999999995
2019,Giraffe Cafe,Takeaway Food Services,144.95193999999998,-37.784209999999995
2019,Meerkat Manor,Takeaway Food Services,144.95193999999998,-37.784209999999995
2019,Wild Dog,Takeaway Food Services,144.95193999999998,-37.784209999999995
2019,Lakeside Bistro And Function Centre,Cafes and Restaurants,144.95193999999998,-37.784209999999995
2019,Riverside Takeaway,Takeaway Food Services,144.91063,-37.80381
2019,Port Diner,Takeaway Food Services,144.93427,-37.80895
2019,Dumpling Station,Takeaway Food Services,144.91683,-37.80088
2019,Willo & Co,Takeaway Food Services,144.91651000000002,-37.80087
2019,The Haileyburian,Cafes and Restaurants,144.95292,-37.81111
2019,Rej's Cafe & Kebabs,Cafes and Restaurants,144.95117,-37.811890000000005
2019,Roller Door Cafe,Cafes and Restaurants,144.94212,-37.80592
2019,Tong Fu Garden Melbourne,Cafes and Restaurants,144.94444,-37.80624
2019,Bob's the Name,Cafes and Restaurants,144.9449,-37.80643
2019,Butcher Shop Cafe,Cafes and Restaurants,144.94558,-37.808
2019,Apollo Cafe,Cafes and Restaurants,144.94663,-37.80784
2019,Miami Hotel Melbourne,Accommodation,144.94863,-37.80612
2019,Katmandu Cottage,Cafes and Restaurants,144.94978999999998,-37.80539
2019,Smile Thai Restaurant,Cafes and Restaurants,144.94963,-37.80539
2019,Amiconi,Cafes and Restaurants,144.94958,-37.80538
2019,Three Crowns Hotel,"Pubs, Taverns and Bars",144.94947,-37.8054
2019,One Star Coffee Lounge,Cafes and Restaurants,144.95137,-37.80563
2019,Warung Agus,Cafes and Restaurants,144.95137,-37.80563
2019,Westwood Coffee & Wine,"Pubs, Taverns and Bars",144.95109,-37.80557
2019,Willows & Wine,"Pubs, Taverns and Bars",144.95105,-37.80557
2019,Royal Mail Hotel On Spencer,"Pubs, Taverns and Bars",144.94828,-37.80845
2019,Embassy Cafe,Cafes and Restaurants,144.94779,-37.80811
2019,Toasta & Co,Cafes and Restaurants,144.94607,-37.80936
2019,Indian Biryani Lounge,Cafes and Restaurants,144.94877,-37.80898
2019,Pizza Max,Takeaway Food Services,144.94867,-37.80895
2019,B.Cuz Coffee & Eatery,Cafes and Restaurants,144.94863,-37.80883
2019,Junie Moon's,Cafes and Restaurants,144.94855,-37.80875
2019,Le Taj Restaurant,Cafes and Restaurants,144.95205,-37.80775
2019,Rosslyn Pizzeria,Cafes and Restaurants,144.9524,-37.807520000000004
2019,Smooth Cafe,Takeaway Food Services,144.95256,-37.80741
2019,Don Camillo Cafe Bar Restaurant,Cafes and Restaurants,144.95426,-37.80592
2019,Dolcetti,Cafes and Restaurants,144.95404,-37.8059
2019,Common Ground Coffee,Cafes and Restaurants,144.95395,-37.80588
2019,Chimac,Cafes and Restaurants,144.95541,-37.807179999999995
2019,The Drunken Poet Pty Ltd,"Pubs, Taverns and Bars",144.9555,-37.806670000000004
2019,Lukumades,Takeaway Food Services,144.95558,-37.806290000000004
2019,Chef Panda 888,Cafes and Restaurants,144.95558,-37.8062
2019,Hello Jose,Cafes and Restaurants,144.95558,-37.8062
2019,Soolzip Korean,Takeaway Food Services,144.9556,-37.80607
2019,Chickilia,Takeaway Food Services,144.9556,-37.80607
2019,Loving Hut,Cafes and Restaurants,144.95543999999998,-37.80605
2019,Royal Standard Hotel,"Pubs, Taverns and Bars",144.95426,-37.807809999999996
2019,Witches In Britches Pty Ltd,"Pubs, Taverns and Bars",144.95264,-37.8089
2019,Gap Cafe,Cafes and Restaurants,144.95168,-37.808859999999996
2019,Flames of India,Cafes and Restaurants,144.94975,-37.809309999999996
2019,Magic Hand Car Wash West Melbourne,"Automotive Body, Paint and Interior Repair",144.95011,-37.80973
2019,Apotheke Specialty Coffee,Cafes and Restaurants,144.94857,-37.81022
2019,Hotel Spencer Bar & Grill,"Pubs, Taverns and Bars",144.94925,-37.80957
2019,Spence,Cafes and Restaurants,144.94983,-37.81043
2019,Western Coffee Lounge,Cafes and Restaurants,144.95044,-37.81191
2019,Hansang,Cafes and Restaurants,144.95351000000002,-37.81215
2019,The Moghals,Cafes and Restaurants,144.95325,-37.811659999999996
2019,Rice Too Asian Cuisine,Takeaway Food Services,144.95325,-37.811659999999996
2019,The Dispensa,Cafes and Restaurants,144.95325,-37.811659999999996
2019,Komegashi,Cafes and Restaurants,144.95363,-37.81236
2019,Impresso Cafe,Cafes and Restaurants,144.9536,-37.8123
2019,Biryani House,Cafes and Restaurants,144.95356999999998,-37.81224
2019,City Of Melbourne Bowls Club Inc,"Sports and Physical Recreation Venues, Grounds and Facilities Operation",144.95442,-37.81049
2019,Crust Gourmet Pizza Bar Kensington,Takeaway Food Services,144.92845,-37.79402
2019,Melba Social,Cafes and Restaurants,144.92863,-37.79404
2019,Kensington food hall,Cafes and Restaurants,144.92876,-37.794059999999995
2019,Argi,Cafes and Restaurants,144.92914,-37.79408
2019,New Bakehouse and Coffee,Bakery Product Manufacturing (Non-factory based),144.92931000000002,-37.794090000000004
2019,London K burgers,Cafes and Restaurants,144.92997,-37.79424
2019,The Premises Espresso,Cafes and Restaurants,144.93018,-37.794259999999994
2019,Spinifex Cafe,Cafes and Restaurants,144.93005,-37.79405
2019,Burger basement Kensington,Takeaway Food Services,144.93006,-37.79396
2019,Fruits of Passion,Cafes and Restaurants,144.93001,-37.793929999999996
2019,White Rabbit Record Bar,Cafes and Restaurants,144.92993,-37.793659999999996
2019,Sori Cafe,Cafes and Restaurants,144.92993,-37.79361
2019,Pimm Thai Cafe,Cafes and Restaurants,144.92991999999998,-37.79354
2019,The Quiet Man Irishman  Pub,"Pubs, Taverns and Bars",144.93237,-37.78861
2019,Colab Espresso/Brewtech,Cafes and Restaurants,144.93528,-37.79
2019,La Tortilleria,Cafes and Restaurants,144.9353,-37.79142
2019,Cheeky Brothers,Cafes and Restaurants,144.93591999999998,-37.79107
2019,Luncheonette Cafe,Cafes and Restaurants,144.93111000000002,-37.79436
2019,Crumbs Organic Bakehouse,Cafes and Restaurants,144.93111000000002,-37.79436
2019,Kensington Canteen,Cafes and Restaurants,144.92996000000002,-37.79959
2019,Memphis Blues Cafe,Takeaway Food Services,144.93496000000002,-37.799009999999996
2019,Saha Thai Cafe,Takeaway Food Services,144.93249,-37.794959999999996
2019,1565,Takeaway Food Services,144.93007,-37.7947
2019,Hatchd Chicken,Takeaway Food Services,144.92951000000002,-37.79456
2019,Grounded House,Cafes and Restaurants,144.92946,-37.794579999999996
2019,Clay Oven Pizza,Takeaway Food Services,144.92935,-37.79452
2019,Mr Piccolo Kitchen and Bar,Cafes and Restaurants,144.92924,-37.794540000000005
2019,Hardimans Hotel,"Pubs, Taverns and Bars",144.92834,-37.79444
2019,Local Folk Cafe,Cafes and Restaurants,144.9256,-37.79224
2019,Al Capone's Pizzeria,Cafes and Restaurants,144.91941,-37.79173
2019,Don't Tell Charles Coffee & Desserts,Cafes and Restaurants,144.9163,-37.7938
2019,Victoria Racing Club Limited,Horse and Dog Racing Administration and Track Operation,144.91286000000002,-37.78906
2019,Headquarters Tavern,Other Gambling Activities,144.91286000000002,-37.78906
2019,Rye Cafe,Cafes and Restaurants,144.9151,-37.78225
2019,Pacinos Italian Restaurant,Cafes and Restaurants,144.9151,-37.78225
2019,Bamboo Garden,Takeaway Food Services,144.9151,-37.78225
2019,Provata Urban Larder & Cafe,Cafes and Restaurants,144.9151,-37.78225
2019,Zigzag Salads & Burgers,Cafes and Restaurants,144.9151,-37.78225
2019,Hem 27,Cafes and Restaurants,144.9151,-37.78225
2019,Eat Pizza Flinders Street,Takeaway Food Services,144.95651,-37.82098
2019,Tokyo Maki,Cafes and Restaurants,144.95651,-37.82098
2019,Nandos Northbank,Cafes and Restaurants,144.95651,-37.82098
2019,Di Parsia Pasticceria Cafe,Takeaway Food Services,144.95591000000002,-37.821090000000005
2019,Nomads Melbourne,Accommodation,144.95744,-37.80999
2019,Buza Chicken,Cafes and Restaurants,144.95799,-37.80988
2019,Asia Pacific Centre,Clubs (Hospitality),144.95797,-37.8097
2019,Radisson On Flagstaff Gardens,Accommodation,144.95612,-37.810320000000004
2019,GJ's Grill,Cafes and Restaurants,144.95664,-37.8097
2019,Diner on Franklyn,Cafes and Restaurants,144.95664,-37.8097
2019,Pegasus Apartment Hotel,Accommodation,144.95708,-37.81006
2019,Tokyo Ya Japanese Restaurant,Cafes and Restaurants,144.9566,-37.81017
2019,Cupanda Kitchen,Cafes and Restaurants,144.96001,-37.80914
2019,Workshop,"Pubs, Taverns and Bars",144.96052,-37.80919
2019,Raan Kan Eang,Cafes and Restaurants,144.96049,-37.80912
2019,Shujinko Ramen,Cafes and Restaurants,144.96043,-37.80898
2019,Rose Garden Barbecue Shop,Cafes and Restaurants,144.96034,-37.808859999999996
2019,Teh Tarik Corner,Takeaway Food Services,144.96014,-37.80874
2019,Malaysian Laksa House,Cafes and Restaurants,144.96022,-37.80856
2019,Mansae Korean BBQ & Bar,Cafes and Restaurants,144.95956999999999,-37.80904
2019,Andrew's Hamburgers,Cafes and Restaurants,144.95956999999999,-37.80904
2019,Plus 852 Cafe,Cafes and Restaurants,144.95956999999999,-37.80904
2019,Oh My Brew,Takeaway Food Services,144.95956999999999,-37.80904
2019,Jojo Little Kitchen,Cafes and Restaurants,144.95956999999999,-37.80904
2019,Phancy Cafe & Catering,Cafes and Restaurants,144.95847,-37.80898
2019,Torasan Ramen,Cafes and Restaurants,144.96116,-37.80895
2019,Nene Chicken (Elizabeth St),Cafes and Restaurants,144.96116,-37.80895
2019,No 1 Delicious,Cafes and Restaurants,144.96176,-37.808170000000004
2019,Sarawak Kitchen Express,Cafes and Restaurants,144.96176,-37.808170000000004
2019,The Vine Coffee Roasters,Cafes and Restaurants,144.96268999999998,-37.80826
2019,Kaki Lima RMIT,Takeaway Food Services,144.96268999999998,-37.80826
